Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,MeSH Terms,Article Citation Count,Patent Citation Count,Reference Count,Copyright Year,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
IEEE Guide for the Protection of Wire-Line Communication Facilities Serving Electric Power Stations,,,ANSI/IEEE Std 487-1980,20021210,1980,,,0_1,,"Wire-line communication facilities serving electric power stations often require special high-voltage protection against the effects of fault-produced ground potential rise or induction voltages, or both. Some of the communication services are used for control and protective relaying purposes which may be called upon to perform critical operations during periods of these faults. This constitutes a major problem in the design of the communications system since power system faults usually result in the introduction of interfering voltages and currents into the communication circuit just at the time when the latter is most urgently required to perform its function. This IEEE guide presents workable methods for protecting wire-line communication circuits entering power stations. It is important to note that special high-voltage protection for the purpose of personnel safety and plant protection may be required even when critical services are not involved. In the case of leased circuits mutually agreeable methods for the installation of protective equipment owned by either party are presented.<<ETX>>",,,10.1109/IEEESTD.1980.119212,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=18472,,Grounding;Power system protection;Standards;Wire communication cables,earthing;power stations;power system protection;standards;telecommunication cables,HV protection;IEEE guide;electric power stations;fault-produced ground potential rise;induction voltages;interfering currents;interfering voltages;personnel safety;plant protection;power system faults;wire-line communication circuits,,0,,10,,,,1980,,IEEE,IEEE Standards
IEEE Guide for the Reclamation of Insulating Oil and Criteria for Its Use,,,ANSI/IEEE Std 637-1985,20021210,1985,,,1,125,"Detailed procedures are provided for reclaiming used mineral insulating oils (transformer oils) by chemical and mechanical means to make them suitable for reuse as insulating fluids. Reclamation procedures are described, as are the test methods used to evaluate the progress and end point of the reclamation process and the essential properties required for reuse in each class of equipment. Suitable criteria for the use of reclaimed oils are identified. The use of oil in new apparatus under warranty is not covered.",,,10.1109/IEEESTD.1985.81580,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=29075,Oil insulation;criteria;insulating;reclamation;use,Insulation;Oil insulation;Standards;Transformers,insulating oils;standards;transformer insulation,ANSI/IEEE standard;mineral insulating oil;reclamation process;test methods;transformer oil,,1,,31,,,,Jan. 12 1985,,IEEE,IEEE Standards
IEEE Guide for the Reclamation of Mineral Insulating Oil and Criteria for Its Use,,,IEEE Std C57.637-2015 (Revision of IEEE Std 637-1985),20151112,2015,,,1,38,Covered in this guide are: mineral insulating oil commonly defined as transformer oil; definitions and descriptions of reclaiming procedures; the test methods used to evaluate the progress and end point of the reclamation process; and recommended criteria for the suitable use of reclaimed oils. The use of oil in new apparatus under warranty is not covered in this guide.,,,10.1109/IEEESTD.2015.7328235,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7328235,IEEE C57.637;mineral insulating oil;petroleum mineral oil dielectric fluid;reclamation;reconditioning;transformer mineral oil dielectric fluid,Dieletric fluid;IEEE Standards;Minerals;Oil insulation;Petroleum;Reclamation,IEEE standards;insulating oils;testing;transformer oil,IEEE guide;mineral insulating oil;reclaimed oils;reclamation process;test methods;transformer oil,,,,,,,,Nov. 20 2015,,IEEE,IEEE Standards
IEEE Guide for the Reclamation of Mineral Insulating Oil and Criteria for Its Use,,,IEEE Std C57.637-2015 (Revision of IEEE Std 637-1985),20151112,2015,,,1,38,Covered in this guide are: mineral insulating oil commonly defined as transformer oil; definitions and descriptions of reclaiming procedures; the test methods used to evaluate the progress and end point of the reclamation process; and recommended criteria for the suitable use of reclaimed oils. The use of oil in new apparatus under warranty is not covered in this guide.,,,10.1109/IEEESTD.2015.7328235,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7328235,IEEE C57.637;mineral insulating oil;petroleum mineral oil dielectric fluid;reclamation;reconditioning;transformer mineral oil dielectric fluid,Dieletric fluid;IEEE Standards;Minerals;Oil insulation;Petroleum;Reclamation,IEEE standards;insulating oils;testing;transformer oil,IEEE guide;mineral insulating oil;reclaimed oils;reclamation process;test methods;transformer oil,,,,,,,,Nov. 20 2015,,IEEE,IEEE Standards
IEEE Guide for the Safe Installation of Mobile Substation Equipment,,,IEEE Std 1268-1997,20020806,1997,,,i,,Information pertaining to the installation of mobile substation equipment up to 230 kV is provided in this IEEE Standard.,,,10.1109/IEEESTD.1997.83811,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=617988,,Substations,substations,230 kV;IEEE Standard;grounding;lighting;lightning stroke protection;mobile substation equipment installation;safe installation;shielding;step voltage;surge protection;touch voltage;transferred voltage,,1,,12,,,,1997,,IEEE,IEEE Standards
IEEE Guide for the Selection and Sizing of Batteries for Uninterruptible Power Systems,,,IEEE Std 1184-1994,20020806,1995,,,i,,The characteristics of the various battery energy systems available are described so that users can select the system best suited to their requirements. This guide also describes how the rectifier and the inverter components of the uninterruptable power system (UPS) can relate to the selection of the battery system.,,,10.1109/IEEESTD.1995.79075,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=475523,,Batteries;IEEE standards;Uninterruptible power systems,IEEE standards;secondary cells;uninterruptible power supplies,IEEE guide;UPS;battery energy systems;battery selection;battery sizing;inverter;rectifier;uninterruptable power system,,0,,11,,,,1995,,IEEE,IEEE Standards
IEEE Guide for the Selection of Monitoring for Circuit Breakers,,,IEEE Std C37.10.1-2000,20020807,2001,,,i,,"Direction is provided for the selection of monitoring and for diagnostic parameters to be used with high-voltage circuit breakers (i.e., above 100 V). Guidance on appropriate parameters to be considered for monitoring applied to various circuit breaker technologies is also provided.",,,10.1109/IEEESTD.2001.92767,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=929430,,Circuit breakers,IEEE standards;circuit breakers;computerised monitoring;condition monitoring,IEEE Guide;IEEE Standard;diagnostic parameters selection;high-voltage circuit breakers;monitoring selection;on-line condition monitoring,,0,,5,,,,2001,,IEEE,IEEE Standards
IEEE Guide for the Specification of Scope and Deliverable Requirements for an Arc-Flash Hazard Calculation Study in Accordance with IEEE Std 1584(TM),,,IEEE Std 1584.1-2013,20140207,2014,,,1,27,"Guidance for the specification and performance of an arc-flash hazard calculation study, in accordance with the process defined in IEEE Std 1584(TM), is provided in this document. It outlines the minimum recommended requirements to enable the owner or its representative to specify an arc-flash hazard study, including scope of work and associated deliverables.",,,10.1109/IEEESTD.2014.6734654,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6734654,IEEE 1584.1(TM);arc fault currents;arc in enclosures;arc in open air;arc-flash boundary;arc-flash hazard;arc-flash hazard analysis;arc-flash hazard marking;bolted fault currents;electrical hazard;incident energy;protective device coordination study;short-circuit study;working distances,Accuracy;Arc discharges;Hazards;IEEE Industry Applications Society;IEEE standards;Petroleum,IEEE standards;arcs (electric);electrical safety;hazards,IEEE Std 1584.1-2013;arc-flash hazard calculation,,0,,,,,,Feb. 10 2014,,IEEE,IEEE Standards
IEEE Guide for the Statistical Analysis of Electrical Insulation Breakdown Data,,,IEEE Std 930-2004 (Revision of IEEE Std 930-1987),20050801,2005,,,0_1,41,"This guide describes, with examples, statistical methods to analyze times to break down and breakdown voltage data obtained from electrical testing of solid insulating materials, for purposes including characterization of the system, comparison with another insulator system, and prediction of the probability of breakdown at given times or voltages",,,10.1109/IEEESTD.2005.96286,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1490128,,,IEEE standards;electric breakdown;insulation;statistical analysis,IEEE Std 930-2004;electrical insulation breakdown;solid insulating materials;statistical insulating breakdown probability,,1,,3,,,,2005,,IEEE,IEEE Standards
IEEE Guide for the Statistical Analysis of Thermal Life Test Data,,,ANSI/IEEE Std 101-1987(R2010) (Revision of IEEE Std 101-1972),20160519,1988,,,1,34,"Statistical analyses of data from thermally accelerated aging tests are described. The basis and use of statistical calculations are explained. Data analysis, estimation of the relationship between life and temperature, and the comparison between two sets of data are covered.",,,,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7473795,analysis;life;statistical;test;thermal,Accelerated aging;Data analysis;IEEE Standards;Statistical analysis;Temperature distribution;Testing;Thermal analysis,,,,,,,,,,Dec. 31 1988,,IEEE,IEEE Standards
IEEE Guide for the Statistical Analysis of Thermal Life Test Data,,,ANSI/IEEE Std 101-1987,20020806,1988,,,0_1,,"Accelerated insulation test procedures usually call for a number of specimens to be aged at each of several temperatures appreciably above normal operating temperatures. High temperatures are chosen to produce specimen failures (according to specified failure criteria) in typically one week to one year. The test objective is to determine the dependence of median life on temperature from the data, and to estimate, by extrapolation, the median life to be expected at service temperature. This guide presents methods for analyzing such data and for comparing test data on different materials.<<ETX>>",,,10.1109/IEEESTD.1988.79636,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=26555,,Electric breakdown;Insulation testing;Life estimation;Standards;Statistics,electric breakdown;insulation testing;life testing;standards;statistical analysis,insulation test procedures;life testing;median life;specimen failures;standards;statistical data analysis;temperatures,,1,,13,,,,1988,,IEEE,IEEE Standards
